function,taylor
(cos(x) + 1)*exp(x),-x**4/8 - x**3/6 + x**2/2 + 2*x + 2
6,6
2*x,2*x
exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + x + 3
sin(x),-x**3/6 + x
cos(x),x**4/24 - x**2/2 + 1
x - cos(x),-x**4/24 + x**2/2 + x - 1
x - exp(x)*cos(x),x**4/6 + x**3/3 - 1
0,0
sin(x) + 1,-x**3/6 + x + 1
-exp(x) + sin(x) - cos(x),-x**4/12 - x**3/3 - 2
exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + x + 5
x + 3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 4*x + 3
8,8
x*(exp(x) + 1),x*(x**3 + 3*x**2 + 6*x + 12)/6
x*(x - sin(x)),x**4/6
x*(cos(x) + 1),x*(4 - x**2)/2
x + 4*cos(x),x**4/6 - 2*x**2 + x + 4
sin(x) - 4*cos(x),-x**4/6 - x**3/6 + 2*x**2 + x - 4
5 - x,5 - x
exp(x) - 1,x*(x**3 + 4*x**2 + 12*x + 24)/24
4 - cos(x),-x**4/24 + x**2/2 + 3
x + cos(x),x**4/24 - x**2/2 + x + 1
x - 6,x - 6
x - 3*cos(x),-x**4/8 + 3*x**2/2 + x - 3
-x - sin(2*x)/2 + 5,2*x**3/3 - 2*x + 5
1 - x,1 - x
cos(x) - 23,x**4/24 - x**2/2 - 22
-x + sin(x),-x**3/6
x + cos(x) + 3,x**4/24 - x**2/2 + x + 4
4*x - cos(x) - 1,-x**4/24 + x**2/2 + 4*x - 2
-x + cos(x),x**4/24 - x**2/2 - x + 1
x + 2,x + 2
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
-x + sin(x),-x**3/6
exp(x) - 2,x**4/24 + x**3/6 + x**2/2 + x - 1
x**2 - 3,x**2 - 3
2*sin(x),x*(6 - x**2)/3
x + sin(x) + 4,-x**3/6 + 2*x + 4
sin(x) + 5,-x**3/6 + x + 5
-x**2 + x + 2,-x**2 + x + 2
-x,-x
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
2*x*sin(x),x**2*(6 - x**2)/3
x + exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + 2*x + 2
2 - sin(2*x)/2,2*x**3/3 - x + 2
-1,-1
24*x,24*x
-1,-1
4*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 5*x + 1
2*x + exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + 3*x + 2
x,x
-x - 1,-x - 1
3*x**2,3*x**2
x*sin(x),-x**4/6 + x**2
2 - x,2 - x
3*x + 1,3*x + 1
-x**2 + sin(x),x*(-x**2/6 - x + 1)
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
cos(x) + 4,x**4/24 - x**2/2 + 5
-x*cos(x),x**3/2 - x
-sin(x) - 5,x**3/6 - x - 5
2*sin(x) - 3,-x**3/3 + 2*x - 3
x**2,x**2
2*x,2*x
x*(cos(x) - 1),-x**3/2
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x**2,x**2
2*x + exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + 3*x + 6
x + 5,x + 5
0,0
x + 2*cos(x),x**4/12 - x**2 + x + 2
1 - sin(x),x**3/6 - x + 1
2 - x,2 - x
-2*x + exp(x),x**4/24 + x**3/6 + x**2/2 - x + 1
x - exp(x) - 3,-x**4/24 - x**3/6 - x**2/2 - 4
exp(x)*sin(x) + 5,x**3/3 + x**2 + x + 5
sin(x) + 2,-x**3/6 + x + 2
4*cos(x) - 7,x**4/6 - 2*x**2 - 3
x*exp(x) + x - 4,x**4/6 + x**3/2 + x**2 + 2*x - 4
x*cos(x),-x**3/2 + x
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
sin(x) - 4,-x**3/6 + x - 4
2*x + exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + 2*x + 1
-exp(x) + 3*cos(x),x**4/12 - x**3/6 - 2*x**2 - x + 2
3,3
sin(x)**2,-x**4/3 + x**2
28,28
cos(x) - 4,x**4/24 - x**2/2 - 3
exp(x) - cos(x),x*(x**2/6 + x + 1)
5*x + 4,5*x + 4
x - 4,x - 4
2*exp(2*x)*sin(x),x*(6*x**3 + 11*x**2 + 12*x + 6)/3
cos(x),x**4/24 - x**2/2 + 1
2 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 1
x + 2*cos(x),x**4/12 - x**2 + x + 2
x**2*sin(x),x**3
x - 1,x - 1
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x*(2*x + 1),x*(2*x + 1)
exp(2*x) - exp(x) - sin(x),x**2*(15*x**2 + 32*x + 36)/24
x*sin(x) - x + exp(x),-x**4/8 + x**3/6 + 3*x**2/2 + 1
x + 2,x + 2
sin(x) - 1,-x**3/6 + x - 1
x*(cos(x) - 1),-x**3/2
x*(1 - x),x*(1 - x)
3,3
x + exp(x)*sin(x),x*(x**2 + 3*x + 6)/3
9 - 2*x,9 - 2*x
x + sqrt(2)*cos(x + pi/4) - 1,x**2*(x**2 + 4*x - 12)/24
5*x,5*x
x*sin(x) + 5,-x**4/6 + x**2 + 5
2*x - 1,2*x - 1
x + exp(x) + sin(x),x**4/24 + x**2/2 + 3*x + 1
x - cos(x),-x**4/24 + x**2/2 + x - 1
x**2 + sin(x),x*(-x**2/6 + x + 1)
14,14
x*(exp(x) + 1),x*(x**3 + 3*x**2 + 6*x + 12)/6
sin(x) - 6,-x**3/6 + x - 6
-1,-1
x + exp(x) + cos(x),x**4/12 + x**3/6 + 2*x + 2
4*sin(x),2*x*(6 - x**2)/3
25 - sin(x),x**3/6 - x + 25
5 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 4
3 - x,3 - x
4*x*cos(x),2*x*(2 - x**2)
4 - 4*x,4 - 4*x
x*sin(2*x)/2,-2*x**4/3 + x**2
x*exp(x) + 2,x**4/6 + x**3/2 + x**2 + x + 2
x - exp(x)*cos(x) - sin(x),x**4/6 + x**3/2 - x - 1
2*x,2*x
-x*exp(x) + x + 3,-x**4/6 - x**3/2 - x**2 + 3
x,x
2*x - sin(x) + 2,x**3/6 + x + 2
x + cos(x),x**4/24 - x**2/2 + x + 1
x + 1,x + 1
-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
5*cos(x) + 6,5*x**4/24 - 5*x**2/2 + 11
x*(1 - x),x*(1 - x)
x,x
-x*cos(x) + 3,x**3/2 - x + 3
-x + cos(x) - 4,x**4/24 - x**2/2 - x - 3
2*x,2*x
x*sin(x) + cos(x),-x**4/8 + x**2/2 + 1
x + 3*cos(x),x**4/8 - 3*x**2/2 + x + 3
x + sin(x),x*(12 - x**2)/6
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
3 - sin(x),x**3/6 - x + 3
x*cos(x) - x + 2,2 - x**3/2
sin(x) - 2,-x**3/6 + x - 2
x*cos(x),-x**3/2 + x
x - 5,x - 5
exp(x) - 3*sin(x) - cos(x),x*(2*x**2 + 3*x - 6)/3
-1,-1
x*cos(x),-x**3/2 + x
2*x*sin(x) + exp(x),-7*x**4/24 + x**3/6 + 5*x**2/2 + x + 1
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
-x,-x
3*cos(x),x**4/8 - 3*x**2/2 + 3
8 - x,8 - x
4,4
-2,-2
x*cos(x),-x**3/2 + x
2*x + exp(x) - 3,x**4/24 + x**3/6 + x**2/2 + 3*x - 2
x*(-x + exp(x)),x**4/6 + x**3/2 + x
2*x*exp(x) - 4,x**4/3 + x**3 + 2*x**2 + 2*x - 4
x + 7,x + 7
2*x,2*x
2*x + exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + 3*x + 5
x + 1,x + 1
10 - sin(x),x**3/6 - x + 10
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
exp(x)*cos(x) + sin(x),-x**4/6 - x**3/2 + 2*x + 1
x - sin(x),x**3/6
x - cos(x),-x**4/24 + x**2/2 + x - 1
-2*x**2 + cos(x),x**4/24 - 5*x**2/2 + 1
x,x
2*x + exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + 3*x + 2
3*x,3*x
2,2
x + 5,x + 5
-2*x*exp(x) + sin(x),x*(-2*x**3 - 7*x**2 - 12*x - 6)/6
-x + sqrt(2)*sin(x + pi/4) - 1,x**2*(x**2 - 4*x - 12)/24
cos(x) + 5,x**4/24 - x**2/2 + 6
-4*sin(x),2*x*(x**2 - 6)/3
sin(x) + 5,-x**3/6 + x + 5
x + cos(x),x**4/24 - x**2/2 + x + 1
4*x,4*x
-x - 2,-x - 2
5*exp(x)*sin(x),5*x*(x**2 + 3*x + 3)/3
4*x,4*x
x**2 + cos(x),x**4/24 + x**2/2 + 1
-x*cos(x) + 5,x**3/2 - x + 5
4 - 2*sin(x),x**3/3 - 2*x + 4
7,7
cos(x)**2,x**4/3 - x**2 + 1
x - exp(x)*sin(x) + 1,-x**3/3 - x**2 + 1
x,x
5*cos(x),5*x**4/24 - 5*x**2/2 + 5
-x + 3*cos(x),x**4/8 - 3*x**2/2 - x + 3
x + 14,x + 14
x + sin(x) + 5,-x**3/6 + 2*x + 5
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
x*exp(x)*cos(x) - 1,-x**4/3 + x**2 + x - 1
-x*exp(x) + 3,-x**4/6 - x**3/2 - x**2 - x + 3
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x + sin(x),x*(12 - x**2)/6
x + 2*cos(x),x**4/12 - x**2 + x + 2
sqrt(2)*x*cos(x + pi/4),x*(x**3/6 - x**2/2 - x + 1)
25,25
3*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 4*x + 1
x + 1,x + 1
-x*sin(x) + exp(x) + 1,5*x**4/24 + x**3/6 - x**2/2 + x + 2
4*x - 5*cos(x),-5*x**4/24 + 5*x**2/2 + 4*x - 5
2*x,2*x
4*x*exp(x) - cos(x),5*x**4/8 + 2*x**3 + 9*x**2/2 + 4*x - 1
2*x + 4,2*x + 4
x*exp(x) - cos(x),x**4/8 + x**3/2 + 3*x**2/2 + x - 1
x - exp(x)*sin(x) - 1,-x**3/3 - x**2 - 1
sin(x) + 4,-x**3/6 + x + 4
-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
2*x,2*x
x*(cos(x) + 1),x*(4 - x**2)/2
x**2 - 1,x**2 - 1
x + sin(x),x*(12 - x**2)/6
-x + sin(x) + 1,1 - x**3/6
x - exp(2*x) + exp(x),x**2*(-15*x**2 - 28*x - 36)/24
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
exp(x) - 3,x**4/24 + x**3/6 + x**2/2 + x - 2
x - cos(x),-x**4/24 + x**2/2 + x - 1
4*x,4*x
3*x - exp(x),-x**4/24 - x**3/6 - x**2/2 + 2*x - 1
-exp(x) + sin(x) + 5,-x**4/24 - x**3/3 - x**2/2 + 4
x*exp(x) + cos(x),5*x**4/24 + x**3/2 + x**2/2 + x + 1
5 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 4
3 - sin(x),x**3/6 - x + 3
sin(x) + 7,-x**3/6 + x + 7
-exp(x) + sqrt(2)*sin(x + pi/4) - 1,-x**3/3 - x**2 - 1
3*x + cos(x),x**4/24 - x**2/2 + 3*x + 1
-x + exp(x) - 3,x**4/24 + x**3/6 + x**2/2 - 2
3*x**2*sin(x),3*x**3
-x + sin(x) - 5,-x**3/6 - 5
x + sin(x) - 3,-x**3/6 + 2*x - 3
0,0
x + 5,x + 5
-exp(2*x) + sin(x),-2*x**4/3 - 3*x**3/2 - 2*x**2 - x - 1
x + exp(x)*cos(x) + exp(x),-x**4/8 - x**3/6 + x**2/2 + 3*x + 2
exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + x + 2
x*cos(x),-x**3/2 + x
cos(x) + 4,x**4/24 - x**2/2 + 5
2*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 3*x + 1
2*x - 5,2*x - 5
24*cos(x),x**4 - 12*x**2 + 24
x*(1 - x),x*(1 - x)
cos(x) - 3,x**4/24 - x**2/2 - 2
x - 3,x - 3
x**2 + exp(x) - 1,x*(x**3 + 4*x**2 + 36*x + 24)/24
5 - sin(x),x**3/6 - x + 5
sin(x) - 4,-x**3/6 + x - 4
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
4*cos(x),x**4/6 - 2*x**2 + 4
x**2 + exp(x) + sin(x),x**4/24 + 3*x**2/2 + 2*x + 1
x - 3,x - 3
5*x**2,5*x**2
x - 8,x - 8
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
3*x,3*x
2 - x,2 - x
x,x
x + sqrt(2)*cos(x + pi/4) + 5,x**4/24 + x**3/6 - x**2/2 + 6
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x**2 - 15,x**2 - 15
x*exp(x) - exp(x) - 4,x**4/8 + x**3/3 + x**2/2 - 5
(cos(x) + 1)*sin(x),x*(12 - 5*x**2)/6
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x**2 + x - 5,x**2 + x - 5
exp(x) - 4,x**4/24 + x**3/6 + x**2/2 + x - 3
x**2,x**2
-x - exp(x)*cos(x) + cos(x),x*(5*x**3 + 8*x**2 - 12*x - 48)/24
x + 4,x + 4
1 - x,1 - x
x + exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + 2*x + 4
-x + exp(x) + cos(x)**2,3*x**4/8 + x**3/6 - x**2/2 + 2
x*sin(x) - 1,-x**4/6 + x**2 - 1
x + cos(x)**2,x**4/3 - x**2 + x + 1
2*x,2*x
x*sin(x),-x**4/6 + x**2
2*x - cos(x) - 5,-x**4/24 + x**2/2 + 2*x - 6
x + 1,x + 1
exp(x) - sqrt(2)*cos(x + pi/4),x*(x + 2)
-x,-x
4 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 3
-exp(x)*cos(x) + 9,x**4/6 + x**3/3 - x + 8
-x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + 3
-sin(x) + cos(x),x**4/24 + x**3/6 - x**2/2 - x + 1
x*(5*cos(x) - 1),x*(8 - 5*x**2)/2
x + cos(x),x**4/24 - x**2/2 + x + 1
0,0
-x,-x
-x*sin(x) + cos(x),5*x**4/24 - 3*x**2/2 + 1
2*cos(x),x**4/12 - x**2 + 2
2*x**2*cos(x),x**2*(2 - x**2)
5 - 4*sin(x),2*x**3/3 - 4*x + 5
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
x*cos(x),-x**3/2 + x
2 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 1
2*x + 2*cos(x),x**4/12 - x**2 + 2*x + 2
x,x
2 - sin(x),x**3/6 - x + 2
5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 5*x + 5
x**2 - sin(x) - 1,x**3/6 + x**2 - x - 1
(cos(x) + 1)*exp(x),-x**4/8 - x**3/6 + x**2/2 + 2*x + 2
2*x + 7,2*x + 7
exp(x) - 5*sin(x),x**4/24 + x**3 + x**2/2 - 4*x + 1
cos(x) - 2,x**4/24 - x**2/2 - 1
10*sin(x) - cos(x),-x**4/24 - 5*x**3/3 + x**2/2 + 10*x - 1
x*(5*x - 1),x*(5*x - 1)
0,0
(3 - cos(x))*exp(x),7*x**4/24 + 5*x**3/6 + 3*x**2/2 + 2*x + 2
x*cos(x) + exp(x) - sin(x),x**4/24 - x**3/6 + x**2/2 + x + 1
3*x*sin(x),x**2*(6 - x**2)/2
cos(x) + 2,x**4/24 - x**2/2 + 3
cos(x) + 5,x**4/24 - x**2/2 + 6
6,6
-x**2 + x - 2,-x**2 + x - 2
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
9,9
-5*x + sin(x) - 4,-x**3/6 - 4*x - 4
-x*exp(x) + sin(x),x**2*(-x**2 - 4*x - 6)/6
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
exp(x) - 3,x**4/24 + x**3/6 + x**2/2 + x - 2
-3*exp(x) + cos(x),-x**4/12 - x**3/2 - 2*x**2 - 3*x - 2
sin(x) + 2,-x**3/6 + x + 2
exp(2*x) + 2,2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 3
0,0
0,0
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
5*exp(x) + cos(x) + 2,x**4/4 + 5*x**3/6 + 2*x**2 + 5*x + 8
exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + x + 3
-x + exp(x) + 8,x**4/24 + x**3/6 + x**2/2 + 9
sin(x),-x**3/6 + x
3 - sin(x),x**3/6 - x + 3
cos(x)**2,x**4/3 - x**2 + 1
0,0
x**2 + sin(x),x*(-x**2/6 + x + 1)
3*x - exp(x),-x**4/24 - x**3/6 - x**2/2 + 2*x - 1
-x*sin(x) + x + exp(x),5*x**4/24 + x**3/6 - x**2/2 + 2*x + 1
x*exp(2*x),x*(4*x**3 + 6*x**2 + 6*x + 3)/3
x**2 - x - cos(x),-x**4/24 + 3*x**2/2 - x - 1
x - cos(x),-x**4/24 + x**2/2 + x - 1
3*x - sin(x),x*(x**2 + 12)/6
x*sin(x),-x**4/6 + x**2
-2,-2
5 - 4*sin(x),2*x**3/3 - 4*x + 5
3 - x,3 - x
sin(x),-x**3/6 + x
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
6 - cos(x),-x**4/24 + x**2/2 + 5
2*x,2*x
-2*sin(x) - cos(x) + 4,-x**4/24 + x**3/3 + x**2/2 - 2*x + 3
8,8
-x + exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + 2
-x*sin(x) + 4,x**4/6 - x**2 + 4
x**2 + sin(x),x*(-x**2/6 + x + 1)
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
x + exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + 2*x + 6
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
x + 2,x + 2
x - 2*exp(x)*cos(x),x**4/3 + 2*x**3/3 - x - 2
x + 1,x + 1
x - sin(x) + 4*cos(x),x**4/6 + x**3/6 - 2*x**2 + 4
x**3,x**3
3*x - cos(x),-x**4/24 + x**2/2 + 3*x - 1
cos(x) + 4,x**4/24 - x**2/2 + 5
sin(x) + 2,-x**3/6 + x + 2
4 - 4*exp(x),x*(-x**3 - 4*x**2 - 12*x - 24)/6
x**2 + cos(x),x**4/24 + x**2/2 + 1
x + 2,x + 2
-x*exp(x) + sin(x),x**2*(-x**2 - 4*x - 6)/6
x + exp(2*x) + cos(x),17*x**4/24 + 4*x**3/3 + 3*x**2/2 + 3*x + 2
x + 5*cos(x),5*x**4/24 - 5*x**2/2 + x + 5
exp(x) + cos(x),x**4/12 + x**3/6 + x + 2
5 - x,5 - x
x*exp(x) + cos(x) + 3,5*x**4/24 + x**3/2 + x**2/2 + x + 4
x*(1 - exp(x)),x**2*(-x**2 - 3*x - 6)/6
-x - 1,-x - 1
exp(x)*sin(x),x*(x**2/3 + x + 1)
7,7
4*sin(x),2*x*(6 - x**2)/3
5,5
5*x + 5,5*x + 5
11*x,11*x
5,5
-x + sin(x)**2,x*(-x**3/3 + x - 1)
2 - x**2,2 - x**2
-x**2 + x - exp(x),-x**4/24 - x**3/6 - 3*x**2/2 - 1
x*sin(x) - x + 2,-x**4/6 + x**2 - x + 2
exp(x)*sin(2*x)/2,x*(-x**3/2 - x**2/6 + x + 1)
x*(sin(x) - 1),x*(-x**3/6 + x - 1)
5*x,5*x
sin(x) + 5,-x**3/6 + x + 5
exp(x)*sin(x),x*(x**2/3 + x + 1)
x*exp(x)*sin(x),x**2*(x**2/3 + x + 1)
2*x - 2*exp(x),-x**4/12 - x**3/3 - x**2 - 2
-x - cos(x) - 1,-x**4/24 + x**2/2 - x - 2
3 - sin(x),x**3/6 - x + 3
-x + exp(x) + sin(x),x**4/24 + x**2/2 + x + 1
-x + exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + 2
4*x + 2,4*x + 2
(1 - 5*sin(x))*cos(x),x**4/24 + 10*x**3/3 - x**2/2 - 5*x + 1
cos(x) + 2,x**4/24 - x**2/2 + 3
x - 5*exp(x),-5*x**4/24 - 5*x**3/6 - 5*x**2/2 - 4*x - 5
x + cos(x),x**4/24 - x**2/2 + x + 1
x + exp(x)*cos(x) + 1,-x**4/6 - x**3/3 + 2*x + 2
exp(x) + 5*sin(x),x**4/24 - 2*x**3/3 + x**2/2 + 6*x + 1
x - sin(x) - cos(x),-x**4/24 + x**3/6 + x**2/2 - 1
x - 3,x - 3
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
4*x*cos(x),2*x*(2 - x**2)
2*x,2*x
0,0
15,15
x*(x*cos(x) + 1),x*(-x**3/2 + x + 1)
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x + exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + 2*x + 5
-x + 2*sin(x) + cos(x),x**4/24 - x**3/3 - x**2/2 + x + 1
x + exp(x) - cos(x),x*(x**2 + 6*x + 12)/6
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
2*x + 2*exp(x),x**4/12 + x**3/3 + x**2 + 4*x + 2
exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
sin(x) - 1,-x**3/6 + x - 1
x*(cos(x) + 1),x*(4 - x**2)/2
exp(x) + 8,x**4/24 + x**3/6 + x**2/2 + x + 9
x + sin(x),x*(12 - x**2)/6
-x*cos(x) - exp(x) + cos(x),x*(x**2 - 3*x - 6)/3
exp(x) + 15,x**4/24 + x**3/6 + x**2/2 + x + 16
-x*cos(x) + 1,x**3/2 - x + 1
2*x - 3*cos(x),-x**4/8 + 3*x**2/2 + 2*x - 3
exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + x + 5
-3,-3
x - 2*sin(x),x**3/3 - x
-x,-x
x*sin(x) - x + sin(x),x**2*(-x**2 - x + 6)/6
3*x*exp(x),x*(x**3 + 3*x**2 + 6*x + 6)/2
4*x,4*x
x + 5,x + 5
x**2,x**2
sin(x) + 2*cos(x),x**4/12 - x**3/6 - x**2 + x + 2
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
2,2
x + sin(2*x)/2,2*x*(3 - x**2)/3
-sin(x),x**3/6 - x
x + 3,x + 3
x*cos(x),-x**3/2 + x
1 - x,1 - x
-x - 5,-x - 5
-3*x + exp(x),x**4/24 + x**3/6 + x**2/2 - 2*x + 1
cos(x) - 6,x**4/24 - x**2/2 - 5
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x**3*exp(x),x**3*(x + 1)
x + exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + 2*x + 5
exp(x) - 1,x*(x**3 + 4*x**2 + 12*x + 24)/24
x + 5,x + 5
-x + cos(x) - 4,x**4/24 - x**2/2 - x - 3
sin(x) + cos(x) + 1,x**4/24 - x**3/6 - x**2/2 + x + 2
x*sin(x) + exp(x) + 2,-x**4/8 + x**3/6 + 3*x**2/2 + x + 3
2*x*cos(x) + 1,-x**3 + 2*x + 1
x**2 - x + 5,x**2 - x + 5
x - exp(x) + sin(x) + 2,-x**4/24 - x**3/3 - x**2/2 + x + 1
x**2 + exp(x),x**4/24 + x**3/6 + 3*x**2/2 + x + 1
x + sin(x),x*(12 - x**2)/6
x + 6,x + 6
-3,-3
5*x,5*x
-x + sin(x),-x**3/6
x + 3,x + 3
x**2 + exp(x) + cos(x),x**4/12 + x**3/6 + x**2 + x + 2
3 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 2
x*sin(x) + 5,-x**4/6 + x**2 + 5
x + 4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 5*x + 4
x,x
3*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 4*x + 1
(x + 1)*exp(x),5*x**4/24 + 2*x**3/3 + 3*x**2/2 + 2*x + 1
19,19
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x*exp(x) + 2,x**4/6 + x**3/2 + x**2 + x + 2
sin(x) - 4,-x**3/6 + x - 4
(x + 1)*sin(x),x*(-x**3 - x**2 + 6*x + 6)/6
7 - 2*cos(x),-x**4/12 + x**2 + 5
2*cos(x) - 4,x**4/12 - x**2 - 2
3,3
exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + x + 6
x*sin(x),-x**4/6 + x**2
x + 3,x + 3
exp(x) + 36,x**4/24 + x**3/6 + x**2/2 + x + 37
3*sin(x) + cos(x),x**4/24 - x**3/2 - x**2/2 + 3*x + 1
-4*x + sin(x),x*(-x**2 - 18)/6
-exp(x) - cos(x) + 4,-x**4/12 - x**3/6 - x + 2
4*x,4*x
2*x,2*x
x*sin(x),-x**4/6 + x**2
5*x - sin(x),x*(x**2 + 24)/6
-x*exp(x) + x + sin(x),x*(-x**3 - 4*x**2 - 6*x + 6)/6
x - exp(x)*sin(x) - 5,-x**3/3 - x**2 - 5
4 - x,4 - x
x + exp(x)*sin(x) + 2,x**3/3 + x**2 + 2*x + 2
1,1
6,6
sin(x) + 2,-x**3/6 + x + 2
1,1
x + sin(x),x*(12 - x**2)/6
2*x,2*x
x**2,x**2
x - exp(x) + sin(2*x)/2,-x**4/24 - 5*x**3/6 - x**2/2 + x - 1
x + cos(x) + 4,x**4/24 - x**2/2 + x + 5
cos(x) + 2,x**4/24 - x**2/2 + 3
(x - 1)*exp(x),x**4/8 + x**3/3 + x**2/2 - 1
3 - sin(x),x**3/6 - x + 3
2*x - 4,2*x - 4
x - cos(x) - 3,-x**4/24 + x**2/2 + x - 4
sin(x) + cos(x) + 4,x**4/24 - x**3/6 - x**2/2 + x + 5
5*x - cos(x),-x**4/24 + x**2/2 + 5*x - 1
x*cos(x) + exp(x) - 2,x**4/24 - x**3/3 + x**2/2 + 2*x - 1
x*cos(x),-x**3/2 + x
4*x**2 + 1,4*x**2 + 1
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
x*sin(x),-x**4/6 + x**2
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
exp(x)*sin(x) - 2*cos(x),-x**4/12 + x**3/3 + 2*x**2 + x - 2
x*sin(x) + 1,-x**4/6 + x**2 + 1
15*cos(x),5*x**4/8 - 15*x**2/2 + 15
x*exp(2*x) - 5,4*x**4/3 + 2*x**3 + 2*x**2 + x - 5
x**2 - sin(2*x)/2,x*(2*x**2/3 + x - 1)
x + sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + 2*x + 1
4,4
20 - x,20 - x
x - 5,x - 5
x*(exp(x) + 1),x*(x**3 + 3*x**2 + 6*x + 12)/6
-x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + 3
(x + 1)*sin(x),x*(-x**3 - x**2 + 6*x + 6)/6
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
2*cos(x),x**4/12 - x**2 + 2
5*x,5*x
(exp(x) + 1)*cos(x),-x**4/8 - x**3/3 - x**2/2 + x + 2
-3*x + exp(x) - 2,x**4/24 + x**3/6 + x**2/2 - 2*x - 1
-x + 2*cos(x) + 4,x**4/12 - x**2 - x + 6
x - sin(x),x**3/6
sin(x),-x**3/6 + x
x - cos(x)**2,-x**4/3 + x**2 + x - 1
2*x + sin(x) + 5,-x**3/6 + 3*x + 5
cos(x) + 5,x**4/24 - x**2/2 + 6
cos(x),x**4/24 - x**2/2 + 1
x + 8,x + 8
5*x + exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + 5*x + 1
1 - x,1 - x
9,9
